"Country","Age","Gender","Kids","Edu","WorkStatus","Income","Occupation","PositionYrs","PositionMnth","CommSize","MaritalStatus","NumofSons","NumofDaughters","XDP1","XDP2","XDP3","XDP4","XDP5","XAIP1","XAIP2","XAIP3","XAIP4","XAIP5","XAIP6","XAIP7","XAIP8","XAIP9","XAIP10","XAIP11","XAIP12","XAIP13","XAIP14","XAIP15","XGP1","XGP2","XGP3","XGP4","XGP5","XGP6","XGP7","XGP8","XGP9","XGP10","XGP11","XGP12","XGP13","XGP14","XGP15","XGP16","XGP17","XGP18","XGP19","XGP20","XSWLS1","XSWLS2","XSWLS3","XSWLS4","XSWLS5","Yourself","Others","DP_Mean","AIP_Mean","GP_Mean","SWLS_Mean","HDI","Development.Category"
"Argentina",45,"Male","Yes Kids","deg","full-time",55000,"",7,0,"Village","Married",NA,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,2.95,3.6,0.827,"Very high human development"
"Australia",45,"Male","Yes Kids","deg","full-time",67500,"Physiotherapst",13,0,"Large-City","Married",NA,3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,"yes","yes",3,3.26666666666667,3.8,3.6,0.939,"Very high human development"
"Australia",37.5,"Male","Yes Kids","deg","full-time",55000,"Technical Writer",7,6,"Large-City","Married",NA,1,3,2,3,1,1,1,1,2,2,3,3,3,3,2,3,2,2,1,2,2,3,1,1,2,1,2,3,3,3,1,1,4,1,2,3,2,2,3,2,3,2,2,2,4,2,"yes","yes",2,2.13333333333333,2.15,2.4,0.939,"Very high human development"
"Australia",37.5,"Male","Yes Kids","deg","full-time",150000,"engineer",9,0,"Large-City","Married",NA,1,5,5,5,5,5,2,2,3,2,5,3,5,5,5,5,2,2,3,2,4,5,2,2,3,3,4,4,4,5,2,2,5,3,2,5,3,3,5,5,4,2,2,2,2,2,"yes","yes",5,3.33333333333333,3.55,2,0.939,"Very high human development"
"Australia",45,"Male","Yes Kids","deg","full-time",87500,"IT Manager",13,0,"Small City","Married",NA,2,3,3,4,3,3,2,3,5,4,3,4,4,4,3,4,4,5,5,4,3,4,1,3,5,2,2,3,4,4,4,2,3,4,4,3,4,2,4,3,4,4,4,4,4,3,"yes","yes",3.2,3.8,3.25,3.8,0.939,"Very high human development"
"Australia",24,"Female","Yes Kids","high","part-time",25000,"Customer Service",6,2,"Large-City","Single",NA,0,3,3,5,2,2,1,1,1,4,4,1,2,3,3,5,4,3,5,3,2,5,1,2,5,3,4,5,4,4,5,5,3,1,4,3,2,2,4,5,5,4,4,4,4,5,"yes","yes",3,2.8,3.6,4.2,0.939,"Very high human development"
"Australia",32.5,"Male","Yes Kids","phd","full-time",67500,"IT Support",3,0,"Large-City","Married",NA,1,5,3,4,4,5,4,2,3,3,4,1,3,3,4,5,3,2,3,1,5,4,3,2,2,2,2,4,2,4,2,4,5,3,4,5,4,4,5,4,4,3,3,2,4,5,"yes","no",4.2,3.06666666666667,3.45,3.4,0.939,"Very high human development"
"Australia",45,"Male","Yes Kids","deg","full-time",150000,"engineer",10,0,"Large-City","Divorced",NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,2,3,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",4,3.6,3.6,2.8,0.939,"Very high human development"
"Australia",32.5,"Female","Yes Kids","ma","full-time",67500," veterinarian",7,0,"Small City","Married",NA,0,4,5,3,3,3,2,2,5,2,2,1,5,3,1,5,3,2,5,2,5,5,1,3,3,4,3,5,3,5,2,1,5,4,3,5,5,4,5,5,5,4,4,4,4,5,"yes","yes",3.6,3,3.8,4.2,0.939,"Very high human development"
"Australia",45,"Female","Yes Kids","deg","full-time",55000,"",6,0,"Medium-Sized","Divorced",NA,2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,"yes","no",2.4,1.86666666666667,2.7,2,0.939,"Very high human development"
"Australia",55,"Male","Yes Kids","phd","full-time",55000,"",0,0,"Village","Married",NA,2,3,2,3,2,1,1,1,3,4,3,1,1,3,4,3,4,2,3,1,2,2,1,2,4,3,2,3,2,3,1,5,1,1,2,3,3,1,3,2,2,2,2,3,4,4,"no","no",2.2,2.4,2.3,3,0.939,"Very high human development"
"Australia",45,"Male","Yes Kids","high","full-time",150000,"",1,0,"Rural/Country","Married",NA,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,4,1,1,1,1,1,1,1,1,5,2,2,2,2,3,2,2,3,3,"yes","no",1.2,1,1.75,2.6,0.939,"Very high human development"
