"Country","DP_Mean","Development.Category"
"Ecuador",4,"High human development"
"Germany",4,"Very high human development"
"New Zealand",4,"Very high human development"
"Spain",4,"Very high human development"
"Sweden",4,"Very high human development"
"Portugal",3.8,"Very high human development"
"China",3.8,"High human development"
"Philippines",3.8,"Medium human development"
"Poland",3.8,"Very high human development"
"Jamaica",3.6,"High human development"
"Brazil",3.5,"High human development"
"Greece",3.5,"Very high human development"
"Ireland",3.46666666666667,"Very high human development"
"United Kingdom",3.46666666666667,"Very high human development"
"Argentina",3.4,"Very high human development"
